data,rodada,publico,publico_max,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,gols_mandante,gols_visitante,time_visitante_América-MG,time_visitante_Athletico-PR,time_visitante_Atlético-GO,time_visitante_Atlético-MG,time_visitante_Atlético-PR,time_visitante_Avaí FC,time_visitante_Barueri,time_visitante_Botafogo,time_visitante_Ceará SC,time_visitante_Chapecoense,time_visitante_Corinthians,time_visitante_Coritiba FC,time_visitante_Cruzeiro,time_visitante_Cuiabá-MT,time_visitante_EC Bahia,time_visitante_EC Vitória,time_visitante_Figueirense FC,time_visitante_Flamengo,time_visitante_Fluminense,time_visitante_Fortaleza,time_visitante_Goiás,time_visitante_Goiás EC,time_visitante_Grêmio,time_visitante_Guarani,time_visitante_Internacional,time_visitante_Joinville-SC,time_visitante_Juventude,time_visitante_Náutico,time_visitante_Paraná,time_visitante_Ponte Preta,time_visitante_Portuguesa,time_visitante_RB Bragantino,time_visitante_Santa Cruz,time_visitante_Santos,time_visitante_Santos FC,time_visitante_Sport Recife,time_visitante_São Paulo,time_visitante_Vasco da Gama
15522,7,2580,43600,19,12,13700000,5450000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15567,17,7500,43600,17,8,16050000,19950000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15577,19,21171,43600,16,11,14700000,74200000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15648,34,13228,43600,18,6,18400000,12050000,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15669,37,4244,43600,18,20,4900000,3400000,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543,11,7407,43600,18,11,14200000,3550000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15612,27,29739,43600,18,10,16800000,4150000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18104,12,37754,43600,1,15,40700000,17550000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18119,14,34275,43600,2,10,54750000,13700000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18150,16,27956,43600,3,18,52000000,35950000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18154,19,35578,43600,3,16,58000000,16250000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18175,23,32659,43600,2,10,58000000,20400000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18186,26,22738,43600,2,20,54000000,11950000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18199,29,29481,43600,2,4,59500000,45500000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18202,30,29019,43600,2,15,59000000,7650000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18224,34,22767,43600,2,4,60750000,82500000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18231,36,22219,43600,3,1,51750000,89400000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18021,3,31549,43600,4,13,49750000,29050000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18015,1,26701,43600,1,19,61250000,7250000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18055,8,37086,43600,1,10,46950000,17550000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
